feature,importance
qualifying_pos_inv,0.27657095
qualifying_pos,0.27545854
driver_season_wins_before,0.048036236
grid,0.046900377
driver_last5_avg_pos,0.040303763
grid_inv,0.035371885
driver_last5_dnfs,0.029493866
driver_season_races_before,0.028849972
constructor_season_avg_pos_before,0.02779946
driver_season_dnfs_before,0.025402129
regulation_era,0.022616033
driver_circuit_avg_pos,0.022230286
constructor_season_dnfs_before,0.02114403
driver_season_avg_pos_before,0.019760758
constructor_season_points_before,0.017770354
driver_season_points_before,0.016988851
round_normalized,0.016293574
driver_circuit_dnfs,0.015642723
driver_circuit_races,0.013366126
